Filename,Percentage
45-vars/problem__018.smt2,3.62%
45-vars/problem_2__011.smt2,8.01%
45-vars/problem_2__034.smt2,1.03%
45-vars/problem__028.smt2,0.51%
slacks/20-19.slack.smt2,34.68%
slacks/25-17.slack.smt2,34.76%
slacks/15-7.slack.smt2,38.45%
slacks/15-13.slack.smt2,42.61%
slacks/45-26.slack.smt2,29.85%
slacks/10-13.slack.smt2,67.17%
slacks/35-25.slack.smt2,36.95%
slacks/30-10.slack.smt2,37.51%
slacks/40-14.slack.smt2,40.27%
slacks/40-9.slack.smt2,47.98%
slacks/35-5.slack.smt2,32.91%
slacks/45-14.slack.smt2,33.95%
slacks/15-5.slack.smt2,50.56%
slacks/45-24.slack.smt2,35.01%
slacks/45-34.slack.smt2,33.18%
20-vars/v20_problem_2__016.smt2.slack.smt2,40.36%
20-vars/v20_problem_2__018.smt2.slack.smt2,31.53%
20-vars/v20_problem__028.smt2.slack.smt2,26.97%
20-vars/v20_problem__004.smt2.slack.smt2,39.53%
20-vars/v20_problem_2__035.smt2.slack.smt2,29.31%
20-vars/v20_problem__001.smt2.slack.smt2,52.08%
20-vars/v20_problem__020.smt2.slack.smt2,38.52%
20-vars/v20_problem__030.smt2.slack.smt2,37.13%
20-vars/v20_problem_2__012.smt2.slack.smt2,41.66%
20-vars/v20_problem__011.smt2.slack.smt2,34.62%
20-vars/v20_problem_2__013.smt2.slack.smt2,38.59%
20-vars/v20_problem_2__005.smt2.slack.smt2,41.20%
20-vars/v20_problem__010.smt2.slack.smt2,46.03%
20-vars/v20_problem__021.smt2.slack.smt2,28.02%
20-vars/v20_problem__002.smt2.slack.smt2,40.44%
40-vars/v40_problem_2__023.smt2.slack.smt2,39.56%
40-vars/v40_problem__024.smt2.slack.smt2,33.16%
40-vars/v40_problem__004.smt2.slack.smt2,49.98%
40-vars/v40_problem_2__034.smt2.slack.smt2,33.70%
40-vars/v40_problem__008.smt2.slack.smt2,43.17%
40-vars/v40_problem_2__018.smt2.slack.smt2,39.43%
40-vars/v40_problem_2__017.smt2.slack.smt2,33.35%
40-vars/v40_problem_2__020.smt2.slack.smt2,35.35%
40-vars/v40_problem__025.smt2.slack.smt2,33.34%
40-vars/v40_problem__022.smt2.slack.smt2,32.07%
40-vars/v40_problem_2__035.smt2.slack.smt2,33.02%
40-vars/v40_problem_2__027.smt2.slack.smt2,33.65%
40-vars/v40_problem_2__022.smt2.slack.smt2,39.27%
40-vars/v40_problem__032.smt2.slack.smt2,29.35%
40-vars/v40_problem_2__009.smt2.slack.smt2,45.98%
15-vars/v15_problem__011.smt2.slack.smt2,46.88%
15-vars/v15_problem__007.smt2.slack.smt2,35.67%
15-vars/v15_problem__021.smt2.slack.smt2,43.25%
15-vars/v15_problem_2__014.smt2.slack.smt2,38.74%
15-vars/v15_problem_2__013.smt2.slack.smt2,40.33%
15-vars/v15_problem__005.smt2.slack.smt2,49.35%
15-vars/v15_problem_2__009.smt2.slack.smt2,45.93%
15-vars/v15_problem__003.smt2.slack.smt2,47.22%
15-vars/v15_problem_2__016.smt2.slack.smt2,31.36%
15-vars/v15_problem__008.smt2.slack.smt2,50.99%
15-vars/v15_problem__014.smt2.slack.smt2,43.82%
15-vars/v15_problem_2__018.smt2.slack.smt2,30.39%
15-vars/v15_problem__006.smt2.slack.smt2,36.33%
15-vars/v15_problem__017.smt2.slack.smt2,47.52%
15-vars/v15_problem_2__015.smt2.slack.smt2,28.85%
25-vars/v25_problem__033.smt2.slack.smt2,29.02%
25-vars/v25_problem_2__034.smt2.slack.smt2,33.03%
25-vars/v25_problem_2__019.smt2.slack.smt2,36.13%
25-vars/v25_problem__005.smt2.slack.smt2,39.67%
25-vars/v25_problem_2__014.smt2.slack.smt2,33.16%
25-vars/v25_problem__004.smt2.slack.smt2,45.34%
25-vars/v25_problem__014.smt2.slack.smt2,34.47%
25-vars/v25_problem__013.smt2.slack.smt2,45.87%
25-vars/v25_problem_2__021.smt2.slack.smt2,27.95%
25-vars/v25_problem_2__023.smt2.slack.smt2,34.12%
25-vars/v25_problem__008.smt2.slack.smt2,42.50%
25-vars/v25_problem_2__025.smt2.slack.smt2,37.48%
25-vars/v25_problem__016.smt2.slack.smt2,34.75%
25-vars/v25_problem_2__022.smt2.slack.smt2,35.98%
25-vars/v25_problem__017.smt2.slack.smt2,37.95%
10-vars/v10_problem_2__003.smt2.slack.smt2,59.17%
10-vars/v10_problem__019.smt2.slack.smt2,34.55%
10-vars/v10_problem__012.smt2.slack.smt2,41.54%
10-vars/v10_problem__009.smt2.slack.smt2,47.46%
10-vars/v10_problem__014.smt2.slack.smt2,38.15%
10-vars/v10_problem__003.smt2.slack.smt2,66.16%
