Filename,Percentage
15-vars/problem__013.smt2,50.96%
15-vars/problem__017.smt2,19.28%
25-vars/problem__029.smt2,32.01%
25-vars/problem_2__003.smt2,26.41%
25-vars/problem_2__024.smt2,33.63%
25-vars/problem_2__026.smt2,48.44%
25-vars/problem__035.smt2,33.60%
25-vars/problem__019.smt2,42.24%
25-vars/problem__004.smt2,50.03%
25-vars/problem_2__018.smt2,26.51%
25-vars/problem_2__008.smt2,43.08%
25-vars/problem_2__002.smt2,54.02%
25-vars/problem_2__016.smt2,40.91%
25-vars/problem_2__011.smt2,57.02%
25-vars/problem__012.smt2,54.88%
25-vars/problem_2__025.smt2,33.38%
25-vars/problem_2__032.smt2,37.91%
10-vars/problem__006.smt2,43.21%
10-vars/problem_2__022.smt2,37.75%
10-vars/problem_2__010.smt2,38.11%
10-vars/problem_2__004.smt2,48.57%
10-vars/problem_2__005.smt2,36.57%
10-vars/problem__023.smt2,52.18%
10-vars/problem_2__007.smt2,28.74%
10-vars/problem__015.smt2,44.30%
10-vars/problem_2__017.smt2,38.21%
10-vars/problem__010.smt2,37.06%
10-vars/problem__007.smt2,24.68%
10-vars/problem_2__008.smt2,42.92%
10-vars/problem__005.smt2,35.37%
10-vars/problem_2__011.smt2,66.02%
10-vars/problem__014.smt2,34.00%
35-vars/problem_2__029.smt2,69.04%
35-vars/problem__006.smt2,28.05%
35-vars/problem_2__022.smt2,45.37%
35-vars/problem__016.smt2,46.19%
35-vars/problem_2__007.smt2,35.33%
35-vars/problem__003.smt2,35.04%
35-vars/problem_2__015.smt2,29.90%
35-vars/problem_2__017.smt2,37.03%
35-vars/problem_2__033.smt2,61.17%
35-vars/problem_2__019.smt2,50.34%
35-vars/problem_2__026.smt2,59.48%
35-vars/problem__035.smt2,57.80%
35-vars/problem__019.smt2,26.83%
35-vars/problem__004.smt2,42.96%
35-vars/problem__010.smt2,26.77%
30-vars/problem_2__022.smt2,34.14%
30-vars/problem_2__010.smt2,45.84%
30-vars/problem_2__005.smt2,16.15%
30-vars/problem__015.smt2,39.16%
30-vars/problem__020.smt2,38.72%
30-vars/problem__003.smt2,26.08%
30-vars/problem_2__021.smt2,33.36%
30-vars/problem__035.smt2,58.22%
30-vars/problem__004.smt2,27.37%
30-vars/problem__010.smt2,43.91%
30-vars/problem_2__035.smt2,64.55%
30-vars/problem_2__016.smt2,59.44%
30-vars/problem__027.smt2,54.98%
30-vars/problem__012.smt2,26.36%
30-vars/problem__017.smt2,60.03%
45-vars/problem_2__020.smt2,33.18%
45-vars/problem_2__004.smt2,25.70%
45-vars/problem__029.smt2,37.39%
45-vars/problem_2__007.smt2,5.90%
45-vars/problem__015.smt2,22.67%
45-vars/problem_2__017.smt2,38.64%
45-vars/problem_2__024.smt2,51.28%
45-vars/problem__033.smt2,59.94%
45-vars/problem_2__021.smt2,49.02%
45-vars/problem__030.smt2,54.51%
45-vars/problem__007.smt2,21.96%
45-vars/problem__018.smt2,53.95%
45-vars/problem_2__011.smt2,28.11%
45-vars/problem_2__034.smt2,70.31%
45-vars/problem__028.smt2,62.07%
slacks/20-19.slack.smt2,26.56%
slacks/25-17.slack.smt2,26.39%
slacks/15-7.slack.smt2,30.41%
slacks/15-13.slack.smt2,35.63%
slacks/45-26.slack.smt2,22.69%
slacks/10-13.slack.smt2,25.09%
slacks/35-25.slack.smt2,21.97%
slacks/30-10.slack.smt2,31.51%
slacks/40-14.slack.smt2,23.16%
slacks/40-9.slack.smt2,21.89%
slacks/35-5.slack.smt2,26.43%
slacks/45-14.slack.smt2,24.70%
slacks/15-5.slack.smt2,17.39%
slacks/45-24.slack.smt2,21.88%
slacks/45-34.slack.smt2,25.36%
20-vars/v20_problem_2__016.smt2.slack.smt2,21.85%
20-vars/v20_problem_2__018.smt2.slack.smt2,17.18%
20-vars/v20_problem__028.smt2.slack.smt2,7.87%
20-vars/v20_problem__004.smt2.slack.smt2,29.58%
20-vars/v20_problem_2__035.smt2.slack.smt2,19.68%
20-vars/v20_problem__001.smt2.slack.smt2,18.29%
20-vars/v20_problem__020.smt2.slack.smt2,16.14%
20-vars/v20_problem__030.smt2.slack.smt2,20.15%
20-vars/v20_problem_2__012.smt2.slack.smt2,24.30%
20-vars/v20_problem__011.smt2.slack.smt2,19.22%
20-vars/v20_problem_2__013.smt2.slack.smt2,20.41%
20-vars/v20_problem_2__005.smt2.slack.smt2,43.73%
20-vars/v20_problem__010.smt2.slack.smt2,45.19%
20-vars/v20_problem__021.smt2.slack.smt2,15.56%
20-vars/v20_problem__002.smt2.slack.smt2,6.55%
40-vars/v40_problem_2__023.smt2.slack.smt2,20.00%
40-vars/v40_problem__024.smt2.slack.smt2,23.41%
40-vars/v40_problem__004.smt2.slack.smt2,17.06%
40-vars/v40_problem_2__034.smt2.slack.smt2,24.87%
40-vars/v40_problem__008.smt2.slack.smt2,17.98%
40-vars/v40_problem_2__018.smt2.slack.smt2,21.89%
40-vars/v40_problem_2__017.smt2.slack.smt2,22.34%
40-vars/v40_problem_2__020.smt2.slack.smt2,27.40%
40-vars/v40_problem__025.smt2.slack.smt2,28.73%
40-vars/v40_problem__022.smt2.slack.smt2,18.14%
40-vars/v40_problem_2__035.smt2.slack.smt2,28.35%
40-vars/v40_problem_2__027.smt2.slack.smt2,30.08%
40-vars/v40_problem_2__022.smt2.slack.smt2,29.46%
40-vars/v40_problem__032.smt2.slack.smt2,16.42%
40-vars/v40_problem_2__009.smt2.slack.smt2,24.18%
15-vars/v15_problem__011.smt2.slack.smt2,19.82%
15-vars/v15_problem__007.smt2.slack.smt2,21.14%
15-vars/v15_problem__021.smt2.slack.smt2,30.79%
15-vars/v15_problem_2__014.smt2.slack.smt2,19.96%
15-vars/v15_problem_2__013.smt2.slack.smt2,30.30%
15-vars/v15_problem__005.smt2.slack.smt2,18.42%
15-vars/v15_problem_2__009.smt2.slack.smt2,8.71%
15-vars/v15_problem__003.smt2.slack.smt2,19.40%
15-vars/v15_problem_2__016.smt2.slack.smt2,16.25%
15-vars/v15_problem__008.smt2.slack.smt2,14.19%
15-vars/v15_problem__014.smt2.slack.smt2,30.75%
15-vars/v15_problem_2__018.smt2.slack.smt2,13.49%
15-vars/v15_problem__006.smt2.slack.smt2,31.72%
15-vars/v15_problem__017.smt2.slack.smt2,28.02%
15-vars/v15_problem_2__015.smt2.slack.smt2,22.80%
25-vars/v25_problem__033.smt2.slack.smt2,21.05%
