Filename,Percentage
15-vars/problem__013.smt2,79.17%
15-vars/problem__017.smt2,0.00%
25-vars/problem__029.smt2,80.68%
25-vars/problem_2__003.smt2,77.02%
25-vars/problem_2__024.smt2,80.05%
25-vars/problem_2__026.smt2,80.68%
25-vars/problem__035.smt2,81.27%
25-vars/problem__019.smt2,79.38%
25-vars/problem__004.smt2,77.02%
25-vars/problem_2__018.smt2,79.38%
25-vars/problem_2__008.smt2,77.69%
25-vars/problem_2__002.smt2,77.02%
25-vars/problem_2__016.smt2,79.38%
25-vars/problem_2__011.smt2,78.65%
25-vars/problem__012.smt2,78.65%
25-vars/problem_2__025.smt2,80.05%
25-vars/problem_2__032.smt2,81.27%
10-vars/problem__006.smt2,73.33%
10-vars/problem_2__022.smt2,80.38%
10-vars/problem_2__010.smt2,74.73%
10-vars/problem_2__004.smt2,65.68%
10-vars/problem_2__005.smt2,70.85%
10-vars/problem__023.smt2,80.38%
10-vars/problem_2__007.smt2,71.73%
10-vars/problem__015.smt2,77.23%
10-vars/problem_2__017.smt2,78.93%
10-vars/problem__010.smt2,74.24%
10-vars/problem__007.smt2,75.21%
10-vars/problem_2__008.smt2,72.28%
10-vars/problem__005.smt2,73.16%
10-vars/problem_2__011.smt2,77.23%
10-vars/problem__014.smt2,77.21%
35-vars/problem_2__029.smt2,79.48%
35-vars/problem__006.smt2,77.19%
35-vars/problem_2__022.smt2,78.95%
35-vars/problem__016.smt2,78.40%
35-vars/problem_2__007.smt2,77.19%
35-vars/problem__003.smt2,76.53%
35-vars/problem_2__015.smt2,77.81%
35-vars/problem_2__017.smt2,78.40%
35-vars/problem_2__033.smt2,79.97%
35-vars/problem_2__019.smt2,78.40%
35-vars/problem_2__026.smt2,79.48%
35-vars/problem__035.smt2,79.97%
35-vars/problem__019.smt2,78.40%
35-vars/problem__004.smt2,76.53%
35-vars/problem__010.smt2,77.19%
30-vars/problem_2__022.smt2,79.43%
30-vars/problem_2__010.smt2,77.48%
30-vars/problem_2__005.smt2,76.74%
30-vars/problem__015.smt2,78.18%
30-vars/problem__020.smt2,78.83%
30-vars/problem__003.smt2,76.74%
30-vars/problem_2__021.smt2,79.43%
30-vars/problem__035.smt2,80.55%
30-vars/problem__004.smt2,76.58%
30-vars/problem__010.smt2,77.48%
30-vars/problem_2__035.smt2,80.55%
30-vars/problem_2__016.smt2,78.83%
30-vars/problem__027.smt2,80.01%
30-vars/problem__012.smt2,78.18%
30-vars/problem__017.smt2,78.83%
45-vars/problem_2__020.smt2,77.78%
45-vars/problem_2__004.smt2,76.23%
45-vars/problem__029.smt2,78.69%
45-vars/problem_2__007.smt2,76.66%
45-vars/problem__015.smt2,77.28%
45-vars/problem_2__017.smt2,77.78%
45-vars/problem_2__024.smt2,78.25%
